date,company,open,high,low,close,adj_close,volume
2000-01-03,hermes,49.66666412353516,50.0,48.33333206176758,49.03333282470703,37.21076965332031,16395.0
2000-01-04,hermes,48.76666641235352,48.76666641235352,45.53333282470703,46.03333282470703,34.934104919433594,33063.0
2000-01-05,hermes,45.0,45.0,41.83333206176758,42.66666412353516,32.379188537597656,55344.0
2000-01-06,hermes,42.66666412353516,42.66666412353516,41.66666412353516,41.66666412353516,31.620296478271484,97941.0
2000-01-07,hermes,42.66666412353516,44.33333206176758,42.0,44.33333206176758,33.64399337768555,131712.0
2000-01-10,hermes,45.0,46.66666412353516,45.0,45.83333206176758,34.78233337402344,61107.0
2000-01-11,hermes,45.66666412353516,45.83333206176758,43.66666412353516,44.26666641235352,33.59340286254883,48825.0
2000-01-12,hermes,44.0,45.29999923706055,42.53333282470703,44.96666717529297,34.1246337890625,96495.0
2000-01-13,hermes,44.29999923706055,46.96666717529297,43.83333206176758,46.96666717529297,35.64239501953125,62985.0
2000-01-14,hermes,46.79999923706055,51.633331298828125,46.5,51.633331298828125,39.183868408203125,125832.0
2000-01-17,hermes,51.66666412353516,52.66666412353516,49.76666641235352,50.0,37.94436264038086,108501.0
2000-01-18,hermes,50.0,50.0,45.83333206176758,47.33333206176758,35.92066192626953,24591.0
2000-01-19,hermes,46.36666488647461,48.26666641235352,46.06666564941406,46.73333358764648,35.465328216552734,21252.0
2000-01-20,hermes,47.73333358764648,48.66666412353516,47.0,47.66666412353516,36.173622131347656,37446.0
2000-01-21,hermes,46.66666412353516,48.0,45.0,45.0,34.149925231933594,66024.0
2000-01-24,hermes,45.0,48.26666641235352,44.36666488647461,44.5,33.77048873901367,66510.0
2000-01-25,hermes,46.96666717529297,47.36666488647461,44.33333206176758,44.36666488647461,33.669288635253906,46248.0
2000-01-26,hermes,44.70000076293945,48.26666641235352,44.70000076293945,46.73333358764648,35.465328216552734,110400.0
2000-01-27,hermes,46.73333358764648,48.23333358764648,46.73333358764648,47.73333358764648,36.224220275878906,15840.0
2000-01-28,hermes,46.09999847412109,49.66666412353516,46.09999847412109,47.76666641235352,36.249507904052734,18228.0
2000-01-31,hermes,49.26666641235352,49.26666641235352,45.33333206176758,46.0,34.908809661865234,30558.0
2000-02-01,hermes,46.0,47.33333206176758,44.96666717529297,46.0,34.908809661865234,51408.0
2000-02-02,hermes,46.66666412353516,49.33333206176758,46.66666412353516,47.03333282470703,35.69298553466797,53847.0
2000-02-03,hermes,47.03333282470703,49.33333206176758,46.20000076293945,49.33333206176758,37.43843460083008,17265.0
2000-02-04,hermes,46.83333206176758,49.76666641235352,45.16666412353516,45.16666412353516,34.276397705078125,47211.0
2000-02-07,hermes,45.33333206176758,47.86666488647461,45.33333206176758,47.5,36.047142028808594,40047.0
2000-02-08,hermes,46.70000076293945,48.36666488647461,46.53333282470703,46.86666488647461,35.5665168762207,41514.0
2000-02-09,hermes,48.16666412353516,50.0,47.16666412353516,50.0,37.94436264038086,77907.0
